"id";"nome";"instituicao_id";"telefone";"instituicao";"endereco";"bairro";"bairro_zona";"area_construida";"area_terrestre";"coordinates_x";"coordinates_y";"matriculas_qtd";"fundamental_qtd";"infantil_qtd";"professores_qtd";"auxiliares_qtd";"coordenador_qtd";"ativo";"anexo";"modalidade_fund";"modalidade_inf"
42;E.M.E.F. PROFESSOR MARCELO RIMÉ VITALINO;42;"92635069";E.M.E.F. PROFESSOR MARCELO RIMÉ VITALINO;AV. U C/ AV. M17, QD. 400 LTS.  04 A 07;CIDADE JARDIM;URBANA;;;;;1179;1179;;36;6;4;true;false;true;false
43;E.M.E.F. SANDRA MARIA SANTOS DA SILVA;43;"99176-2576";E.M.E.F. SANDRA MARIA SANTOS DA SILVA;RUA SATURNO;NOVO BRASIL;URBANA;952.11;1131.66;-49.86775269675692;-6.090675773430149;380;380;;12;5;1;true;false;true;false
44;E.M.E.F. SANTA RITA DE CÁSSIA;44;"9934-0974";E.M.E.F. SANTA RITA DE CÁSSIA;COMUNIDADE SANTA RITA DE CÁSSIA- PARAUAPEBAS-PA ;REGIÃO RURAL;RURAL;;;;;76;69;7;6;0;1;true;false;true;true
45;E.M.E.F. SANTA TEREZA;45;"99147-7101";E.M.E.F. SANTA TEREZA;ASSENTAMENTO VALENTIM SERRA PARAUAPEBAS – PA ;REGIÃO RURAL;RURAL;;;;;128;107;21;10;3;3;true;false;true;true
46;E.M.E.F. TEREZINHA DE JESUS;46;"99247-0015";E.M.E.F. TEREZINHA DE JESUS;AVENIDA J;CIDADE JARDIM;URBANA;3377.09;7864.97;-49.86331267609085;-6.063846358502005;1591;1591;;48;18;4;true;false;true;false
47;E.M.E.F. UNIÃO DO POVO;47;"9934-0974";E.M.E.F. UNIÃO DO POVO;P.A. – TERRA ROXA  PARAUAPEBAS – PA ;REGIÃO RURAL;RURAL;;;;;87;81;6;10;3;2;true;false;true;true
48;E.M.E.I. ANA MARIA  MACHADO;48;"99124-6277";E.M.E.I. ANA MARIA  MACHADO;AVENIDA MONTEIRO LOBATO;NOVA VIDA;URBANA;694.95;1145.79;-49.88817140800431;-6.0884542706307485;283;;283;9;8;1;true;false;false;true
49;E.M.E.I. AURINO GONÇALVES  SANTOS;49;"98116-5932";E.M.E.I. AURINO GONÇALVES  SANTOS;AVENIDA BRAASIL;PARQUE DAS NAÇÕES;URBANA;3514.93;5836.68;-49.9049089490695;-6.109451602857305;449;;449;14;11;1;true;false;false;true
50;E.M.E.I. COMECINHO DE VIDA;50;"99246-2458";E.M.E.I. COMECINHO DE VIDA;AVENIDA BRASIL;RIO VERDE;URBANA;748.87;1181.61;-49.8912732370193;-6.076710241804236;174;;174;7;5;1;true;false;false;true
51;E.M.E.I. CORA CORALINA;51;"99186-0879";E.M.E.I. CORA CORALINA;RUA: ESPANHA Q/E ( ANTIGA UTG);CASAS POPULARES II ;URBANA;;;;;493;;493;16;11;3;true;false;false;true
52;E.M.E.I. CRIANÇA ESPERANÇA;52;"98117-2406";E.M.E.I. CRIANÇA ESPERANÇA;RUA A;PRIMAVERA;URBANA;534.58;808.12;-49.91496560341501;-6.06029178891545;223;;223;9;11;1;true;false;false;true
53;E.M.E.I. DANIELE COSTA GALDINO;53;TELEFONE NÃO INFORMADO;E.M.E.I. DANIELE COSTA GALDINO;ENDEREÇO NÃO INFORMADO;BAIRRO NÃO INFORMADO;URBANA;;;;;518;;518;21;8;2;true;false;false;true
54;E.M.E.I. DONA ROSA;54;"9133-1131";E.M.E.I. DONA ROSA;RUA TOPÁZIO;MORADA NOVA;URBANA;1019.15;1174.2;-49.89218595176951;-6.099846226555201;316;;316;11;8;1;true;false;false;true
55;E.M.E.I. GENTE INOCENTE;55;"8126-1070";E.M.E.I. GENTE INOCENTE;AVENIDA BOM JARDIM;GUANABARA;URBANA;747.61;1040.47;-49.887554542628706;-6.0937914578505;229;;229;7;14;0;true;false;false;true
56;E.M.E.I. LEIDE MARIA TORRES FERREIRA;56;"8403-0199";E.M.E.I. LEIDE MARIA TORRES FERREIRA;RUA 78;JARDIM CANADÁ;URBANA;1331.77;2785.88;-49.891163388040965;-6.0623912655784835;198;;198;8;13;1;true;false;false;true
57;E.M.E.I. MARIA SALETE RIBEIRO MORENO;57;"99162-4105";E.M.E.I. MARIA SALETE RIBEIRO MORENO;RUA: FIDEL CASTRO QD– ESPECIAL S/N;PALMARES II;RURAL;;;;;351;0;351;10;;2;true;false;true;true
58;E.M.E.I. MORANGUINHO;58;"99170-8803";E.M.E.I. MORANGUINHO;RUA MINAS GERAIS;RIO VERDE;URBANA;1071.14;1418.81;-49.89632541734797;-6.079409671121638;393;;393;13;17;1;true;false;false;true
59;E.M.E.I. MUNDO INFANTIL;59;"99223-7972";E.M.E.I. MUNDO INFANTIL;RUA: JOÃO PESSOA, S/N QD. ESPECIAL;PALMARES SUL;URBANA;1593.52;2665.79;-49.891505195509716;-5.992819194755569;475;;475;20;24;2;true;false;false;true
60;E.M.E.I. PEQUENO PRÍNCIPE;60;"99129-5820";E.M.E.I. PEQUENO PRÍNCIPE;RUA O;UNIÃO;URBANA;597.66;1666.39;-49.90652018550009;-6.0734948381981155;153;;153;5;4;1;true;false;false;true
61;E.M.E.I. PINGO DE GENTE;61;"99262-1320";E.M.E.I. PINGO DE GENTE;RUA ARAGUAIA;DA PAZ;URBANA;1188.19;1604.07;-49.880084020233674;-6.084753818276795;297;;297;11;10;1;true;false;false;true
62;E.M.E.I. RUTH ROCHA;62;"9663-7774";E.M.E.I. RUTH ROCHA;RUA A12;CIDADE JARDIM;URBANA;1858.78;3882.93;-49.85853362126499;-6.086841487310522;509;;509;16;14;2;true;false;false;true
63;E.M.E.I. SORRISO DE CRIANÇA;63;"99119-7510";E.M.E.I. SORRISO DE CRIANÇA;TRAVESSA ESTRELA DO AMANHÃ;LIBERDADE I;URBANA;2136.12;1428.3;-49.90525920724483;-6.079071779205222;288;;288;9;11;1;true;false;false;true
64;E.M.E.I. TURMA DA MÔNICA;64;"98126-8868";E.M.E.I. TURMA DA MÔNICA;AVENIDA GOIÁS;LIBERDADE I;URBANA;749.58;1228.11;-49.90892336004745;-6.081661894872056;296;;296;9;9;1;true;false;false;true
65;E.M.E.I. VOVÓ ANA;65;"99157-5732";E.M.E.I. VOVÓ ANA;RUA AMSTERDÃ;VILA RICA;URBANA;769.48;1027.48;-49.891801636669726;-6.0507833588685855;289;;289;10;10;1;true;false;false;true
66;E.M.E.I. ZILDA ARNS;66;"99119-7510";E.M.E.I. ZILDA ARNS;RUA LUANDA;VILA RICA;URBANA;1417.99;3283.81;-49.89029770448318;-6.044912366120883;170;;170;8;5;1;true;false;false;true
